,cuentas,valor,trimestre,year
2,Total Pasivos Corrientes,"4,494,330",I,2023
3,Total Pasivos No Corrientes,"2,591,607",I,2023
4,Total Patrimonio,"2,672,150",I,2023
0,Total Activos Corrientes,"2,135,981",II,2023
1,Total Activos No Corrientes,"7,436,943",II,2023
2,Total Pasivos Corrientes,"4,332,439",II,2023
3,Total Pasivos No Corrientes,"2,691,253",II,2023
4,Total Patrimonio,"2,549,232",II,2023
0,Total Activos Corrientes,"1,797,022",III,2023
1,Total Activos No Corrientes,"7,501,466",III,2023
2,Total Pasivos Corrientes,"4,039,089",III,2023
3,Total Pasivos No Corrientes,"2,529,804",III,2023
4,Total Patrimonio,"2,729,595",III,2023
0,Total Activos Corrientes,"1,687,478",IV,2023
1,Total Activos No Corrientes,"7,503,030",IV,2023
2,Total Pasivos Corrientes,"3,957,764",IV,2023
3,Total Pasivos No Corrientes,"2,420,324",IV,2023
4,Total Patrimonio,"2,812,420",IV,2023
0,Total Activos Corrientes,"1,871,801",I,2024
1,Total Activos No Corrientes,"7,512,230",I,2024
2,Total Pasivos Corrientes,"4,195,012",I,2024
3,Total Pasivos No Corrientes,"2,270,942",I,2024
4,Total Patrimonio,"2,918,077",I,2024
0,Total Activos Corrientes,"1,601,762",II,2024
1,Total Activos No Corrientes,"7,654,216",II,2024
2,Total Pasivos Corrientes,"4,870,322",II,2024
3,Total Pasivos No Corrientes,"1,732,987",II,2024
4,Total Patrimonio,"2,652,669",II,2024
